Mazinga Phaser,596cca00-9095-4546-a242-77bc2faf38da,35080
Brandon White,,35228
B.G. and the Chopper City Boyz,8fa26ab1-d57b-4fc5-957c-1884fd512a66,35393
Amanda Martin & Lyle Goodman,3862daf7-7fd0-4236-b58a-4c311d9839a2,35984
Jenn Cristy,,36006
AKP,2b524c77-87e7-43bc-b23b-c5967873aed0,36185
Dave Anthony,17c5dce8-1c29-46ba-94f0-70a443c0c94e,36419
Pat McCurdy,6651fa24-38bc-44e4-a1c1-f11003997b8e,36507
Woogie,dae27553-2819-482f-b4eb-2033d534335f,36554
JaGoFF,,36654
Thom Shepherd,,36740
Istvan Szekely,361e711a-a5c0-4065-a27b-c62e261b0afc,36761
Babaryan,,37068
Phil & Daniel Rosenthal (Holiday),19f89a7c-008b-4433-91d7-1a1a68d1591d,37124
Jeff Caylor,bbbdb644-50b2-4777-8e14-64a267c5cd58,37340
Austins Bridge,5a20ff4f-f82e-4d54-8090-07bfbbc85d66,37389
Von Lmo,00acdb34-e215-40e2-a767-320a31c830f1,37522
Speedball Baby,f8ad7724-b6a3-4fa3-8a35-94ced58f15d8,37611
SPORE 333,,38284
Shark Speed,cce4f5bc-ca16-42c4-a1d0-2f10f2e0abce,38745
La Mar Enfortuna,777794ee-62e2-4e9a-a6ad-41781149851e,38748
Kanji Kinetic,77405b55-d52a-4c46-96a3-8e2449af7aa4,38847
Lookout Farm,,39063
Aidan Smith,9ec9b08b-68cd-4439-be6e-16cb7cbb763e,39715
Electricwest,916e68a6-c974-4bfe-80b9-a62b93f32bb6,39741
Henry Blair & Ray Turner,c377cfcb-c2fb-4a0c-9b18-e626fa947ed6,39805
Tinsel Teeth,604e3c07-b5a4-4719-8497-2cd87a7997d8,40057
Ten Thousand Free Men & Their Families,8e4fea9c-a7b6-4a23-9d33-ca79bf0219a3,40470
Patrons of Sweet,8f7aec0b-28c2-4cb0-bd49-c015c185c13b,41124
Naked gods,e66d6295-f96a-436e-abf3-b93d4aa5c52d,41385
Diane Denoir,097263e3-a615-49df-81d3-d6beb14b398d,41433
Mudcat,b69e6e93-73d3-47c0-be28-7a809abdf84e,41799
the german measles,436502a9-004f-41d2-967f-6c8f80d54749,41955
Jonathan Kingham,17638589-dd20-44e7-98fe-acb21e8b6784,42632
Home Items,c3a3ed7e-3d35-459a-92a9-4af20d3656bd,42735
Mark Sinnis,4ba5c621-1d0e-4534-bbbe-680d105ba7ab,43038
Arkadelphia,,43692
David Condos,b5f0a9b2-c577-44bb-83da-fa428de81dbc,43761
Standing Small,,43965
Cath and Phil Tyler,5a50967c-913e-4aae-bf94-edac8b529264,44404
Benjamin Faugloire Project,90750bbc-1b5d-446e-ba81-ed1a2bc30856,44405
Leaf Language,e799dadd-239e-4d39-abc8-70e874dccbf5,44716
NSP,b5ce8b5d-592f-435c-b1bc-b952b59478f0,46399
Round Sky Music,,46580
wezzy,,47360
Three Years Hiding,c8962afc-9c56-4c3b-b393-73830f720f9e,47498
Depressor,d74f2314-51b8-481a-baf0-6771f84a97b0,47947
Spokinn Movement,,48026
Nomade,9cbcac00-5b04-4121-9b7c-ae5f39f37400,48220
Sammy G,,48270
The Pirates Charles,,48311
Bored Of Music,3c3cf8b1-4a65-4f24-a870-36c7487e4869,48558
3 Minute Warning,b9db348e-6744-408a-b012-7caca1435970,48668
Daniel Gun,6ceae164-46a9-4bc7-a63e-99694da8a758,48814
Doin' It For The Money,,48954
Tony Thomas,c44cae2a-44b3-4828-87a9-99c092769826,49039
Beat the red light,,49079
Devotos,e02933be-dfa0-43ad-b44a-9fb109a881a5,49195
Linh Nguyen,6d04f922-7e1f-4788-a76e-3ff4dafd21e3,49204
Suely Mesquita,9c158c73-0627-492f-9a57-227126bd2a40,49429
Kassiano,,49872
The Black Apples,a697464c-69b1-4bbc-88cc-570c025a25e5,50281
The Mahoney Brothers,833f996c-8703-424e-9307-284d95864783,50560
Fantastadon,c5cbbefb-de04-43d4-9ffc-a5b9cd85b2ef,50660
Machan,,51292
Bentli,,51799
The Sneaks,5ec358f5-4e9b-4fe6-bd75-7f087c050bc9,51997
No Man's Band,32b36a3a-d456-4a49-bb1b-5423782ba7c6,52054
Sars Flannery,a4bb5010-e604-4412-b05b-4dc67fcc846c,52372
Unique Chique,d51531a7-58b2-4cb4-a72f-a7fc801f826a,52427
Mokai,3ad6e69a-0361-4e94-9180-336cb82fcf51,52517
"Bono, Edge, Chris Martin (Coldplay) & Brian Eno",15699b51-b8aa-452d-98ed-9da5e8b9c37a,53275
Guthrie Kennard,1d437a9b-6c1b-4aee-9c43-cec71f1d4050,53329
Only for the sake of aching,c11abfdb-1b4c-4828-b9a2-46040f2d729d,53537
Pine Mountain Railroad,1852587c-74e2-4edf-b609-a2208a1ed71f,53626
Deleted Waveform Gatherings,ef50caa4-c3ba-43a3-95c2-35e3a53efd9a,53663
Die Daily,,53769
Superbutt,638d29dd-fb25-4b30-975a-a9b431042dac,54195
Jack Green,ada2b416-890a-4c12-a4a9-b47447dec780,54667
sTuRcH,,54842
Takeo Toyama,b2d731d0-252d-4842-9707-4f5c5247ee34,55341
Jeff Wootton,,55357
Ian Shaw,7d926e97-df9b-4d3a-b7cd-b8a937a8a5df,55432
Glenn Kaiser,7a6817e4-c0ca-4021-bb40-accd80181461,55500
Jack Brass Band,73701a01-07e2-44f7-8935-e094bdc22892,55597
Estrela Guia,abe427c8-70a4-44dc-b75f-297859473926,55633
Sacrificial Blood,c5d2441a-a659-4e82-a9f1-fd65cffdaa8f,55701
Nothingful,,55963
Ginferno,2707a688-60fc-4884-acb7-f590dc0c247e,56049
Senderos,,56063
Pepe California,303b1a76-bcb1-4cbc-9dc8-9883492c1143,56683
Andrew Gouche,73d347ca-db2c-4ea7-bbfa-76c3f67bf5a7,57014
push pins,1b9e6350-f7f8-483f-9917-a8c9fcf52e99,57027
Queyi,,57326
Black Thunder,,57511
Searing Solace,c14b9e99-73d3-4601-9e1f-85d9c99a086d,57792
DJ Amir,5dd0c8e8-68aa-4c4e-b686-3f77c574602a,57928
Rock gegen rechts,ac6ee694-5f12-44d4-82c7-b8088f7b6661,57962
Unabombers,b0eb9a8f-367c-4bd6-b046-f0a2dd449b20,58129
Scrapy,f7583439-caf4-4573-a00e-e6ccc25658c1,58132
Waco Jesus,133b0b58-3b06-4e96-bdc2-2758918c088d,58271
Man Made Hell,f70b7464-131c-4ca3-a695-5558c3498d7c,58323
Kulin Ban,3cc6c090-e81b-4b20-9704-576f6df28898,58494
The Best of the Worst,4c9eddc3-5bc9-4320-849a-3c3513e3c000,58627
Smoke Like A Fish,8314e9f5-d104-4e28-9db5-ec122ee0672c,58678
Minus Pilots,d407ae0a-d53b-4f69-98ba-bbe9ed04d000,59382
Kp9000,,60095
Mads Tolling,27e47c3e-af28-4d1f-89b6-fc2c7a583310,60138
Rituel,ff0fe9ca-f931-40a4-a3e5-c242b4f3a59b,60198
Broken Yoke,58df6cc0-6251-42ea-9ec0-103818916e65,60466
Do it Yourself,,60792
Pistol For Ringo,d47caa02-e74f-427d-8d45-d533a83ccb74,60929
Dash Jacket,9e28db02-657d-4d6c-970c-a77454248123,61588
Never Turn Back,,61625
The Spooky Men's Chorale,c6fa941e-d403-445f-9cde-5ca0336d7196,61710
Your Enemies Friends,818389a4-36d2-4f9c-9f88-45d595b27781,61712
The Mayhaws,c8394169-6e07-4a4c-8adc-7055b4421279,61779
Nathan Daughtrey,9bf32cee-257e-45ab-8a47-bc910d611dad,62101
propergol y colargol,30986faa-d591-44bc-aff9-47cbdf823e56,62138
Side On Sound,53a96d99-95eb-4b9f-ab27-abf5d3ff7403,62795
druques,,62837
Mortal Agony,3ac7cefa-6281-4384-ac2c-0f052c73f950,63071
SteddyBeats,,63190
Exit State,,63934
Zero Hero,cf3154b9-024e-405d-b581-5f5f7e92ed63,63958
Andy George,85d9152c-cfba-4bcc-8f49-55e3d5d54db2,64037
The Aquamarines,f2bd3a27-965d-47d3-8e12-450e6e939b65,64240
cem tuncer,86f48ea5-dfa2-4f71-b312-19c1f6156c6b,64366
Slashed Seat Affair,e7e0423b-1201-4222-9135-01fcf871f595,64460
Muldoon,,64608
Guzzler,,64672
The Inclined Plane,2d94782f-90f2-4fff-b3bc-1b2e410f43ab,64677
Jahtari Riddim Force,ac6c9805-4e13-45fb-9a3d-c3de7e138fa9,64787
Balbino Medellin,db29c0fa-f015-4cf2-9149-8c3bb073adea,64816
Concrete DJ'z,9ba906bc-092b-4de7-b9bc-16c8a3e6251e,64884
Russian Rullet,,64905
Shagghie,,65056
Standeg,a29ab6cb-cf36-412e-bba1-9dccd358694a,65348
Bad News,9dec8cb1-0b16-43d5-b7f1-b9e24997a240,65364
Sogar,4c02afbe-784d-4589-874c-f6ed951e5b11,65443
Lara Korona,,65548
Sinwar,7d1d2620-afa4-4565-aaf0-8441e7415fba,65694
Albert Sanz,6d5993a7-ef89-41cd-88c8-9ac4d0b39b0c,65713
Wesley Dysart,be4edada-661f-4856-a588-2664de750ee7,65766
Dancing on Debris,,65903
Mikrofisch,27047e70-a833-4627-b589-9888eb7cf6e4,66112
DJ IQ,2ae29e41-cf82-4358-a26a-de253d482023,67022
Dancing with the Enemy,0a02e70e-db2f-4cfe-a646-e8ced413f7d5,67477
CORN HEAD,e9aa5ac8-e65d-4446-890c-d1c2192e3c78,67638
OG Daddy V,15e8741b-474e-4ec9-9ffb-a89db700efb5,67713
Christopher G,5efe021b-61c8-45ed-9c89-ab808a892c96,67894
Ryan Kauffman,e1ab965e-5f2d-499f-9969-a503487f7d7c,68106
Hotel Mama,e31fbea1-a167-4aca-a644-554bddcf97a3,68174
Christian Reichert,1a78d4ba-b927-49ea-bd1e-9e44dcc7eb4e,68230
